nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
China,1439323776,9596961,Asia
India,1380004385,3287263,Asia
Estados Unidos,331002651,9833517,América
Indonesia,273523615,1904569,Asia
Pakistán,220892340,881912,Asia
Bangladesh,164689383,147570,Asia
Nigeria,206139589,923768,África
Rusia,145934462,17098242,Europa
México,128932753,1964375,América
Filipinas,109581078,300000,Asia
Egipto,102334404,1001449,África
Vietnam,97338579,331212,Asia
Turquía,84339067,783562,Europa
Irán,83992949,1648195,Asia
Tailandia,69799978,513120,Asia
Reino Unido,67886011,242900,Europa
Francia,65273511,551695,Europa
Italia,60461826,301340,Europa
Sudáfrica,59308690,1221037,África
Tanzania,59734218,945087,África
Myanmar,54409800,676578,Asia
Corea del Sur,51269185,100210,Asia
Kenia,53771296,580367,África
Uganda,45741007,241038,África
Argelia,43851044,2381741,África
Sudán,43849260,1886068,África
Iraq,40222493,438317,Asia
Canadá,37742154,9984670,América
Polonia,37846611,312679,Europa
Marruecos,36910560,446550,África
Afganistán,38928346,652230,Asia
Perú,32971854,1285216,América
Venezuela,28435940,916445,América
Malasia,32365999,330803,Asia
Uzbekistán,33469203,448978,Asia
Angola,32866272,1246700,África
Mozambique,31255435,801590,África
Ghana,31072940,238533,África
Yemen,29825964,527968,Asia
Nepal,29136808,147181,Asia
Madagascar,27691018,587041,África
Camerún,26545863,475442,África
Costa de Marfil,26378274,322463,África
Australia,25499884,7692024,Oceanía
Taiwán,23816775,36193,Asia
Níger,24206644,1267000,África
Sri Lanka,21413249,65610,Asia
Burkina Faso,20903273,274200,África
Malí,20250833,1240192,África
Rumania,19237691,238391,Europa
Chile,19116201,756102,América
Malaui,19129952,118484,África
Kazajistán,18776707,2724900,Asia
Zambia,18383955,752612,África
Guatemala,17915568,108889,América
Ecuador,17643054,276841,América
Siria,17500658,185180,Asia
Países Bajos,17134872,41543,Europa
Senegal,16743927,196722,África
Camboya,16718965,181035,Asia
Chad,16425864,1284000,África
Somalia,15893222,637657,África
Zimbabue,14862924,390757,África
Guinea,13132795,245857,África
Ruanda,12952218,26338,África
Benín,12123200,112622,África
Burundi,11890784,27834,África
Túnez,11818619,163610,África
Bolivia,11673021,1098581,América
Bélgica,11589623,30528,Europa
Haití,11402528,27750,América
Cuba,11326616,109884,América
Sudán del Sur,11193725,644329,África
República Dominicana,10847910,48671,América
República Checa,10708981,78865,Europa
